Customer ID,Last Used Platform,Is Blocked,Created At,Language,Outstanding Amount,Loyalty Points,Number of employees
3144837,WEB,0,2021-03-15 17:13:19+00:00,en,0,0,2.0
3174590,WEB,0,2021-03-20 14:15:11+00:00,en,0,0,2.0
3181998,WEB,0,2021-03-21 15:36:51+00:00,en,0,0,2.0
3191244,WEB,0,2021-03-23 08:54:00+00:00,en,0,367,2.0
3274222,WEB,0,2021-04-06 13:52:39+00:00,en,0,0,2.0
3289843,WEB,0,2021-04-09 09:51:12+00:00,en,0,21,2.0
3307723,WEB,0,2021-04-12 06:56:23+00:00,en,0,0,2.0
3320505,WEB,0,2021-04-14 06:53:42+00:00,en,0,0,2.0
3320510,WEB,0,2021-04-14 06:54:27+00:00,en,0,0,2.0
3321209,WEB,0,2021-04-14 09:01:16+00:00,en,0,7,2.0
3321648,WEB,0,2021-04-14 10:25:44+00:00,en,0,0,2.0
3321884,WEB,0,2021-04-14 11:07:38+00:00,en,0,0,2.0
3322509,WEB,0,2021-04-14 12:56:34+00:00,en,0,0,2.0
3322639,WEB,0,2021-04-14 13:11:41+00:00,en,0,0,2.0
3326583,WEB,0,2021-04-15 06:23:16+00:00,en,0,0,2.0
3326754,WEB,0,2021-04-15 07:04:07+00:00,en,0,1,2.0
3326869,WEB,0,2021-04-15 07:34:20+00:00,en,0,46,2.0
3327353,WEB,0,2021-04-15 09:38:21+00:00,en,0,2,2.0
3328088,WEB,0,2021-04-15 12:20:10+00:00,en,0,1,2.0
3328990,WEB,0,2021-04-15 15:07:51+00:00,en,0,36,2.0
3333265,WEB,0,2021-04-16 10:29:32+00:00,en,0,0,2.0
3340174,WEB,0,2021-04-17 10:56:00+00:00,en,0,2,2.0
3351682,WEB,0,2021-04-19 06:01:24+00:00,en,0,108,2.0
3357199,WEB,0,2021-04-20 07:50:30+00:00,en,0,0,2.0
3357267,WEB,0,2021-04-20 08:10:15+00:00,en,0,0,2.0
3357390,WEB,0,2021-04-20 08:37:06+00:00,en,0,5,2.0
3358243,WEB,0,2021-04-20 12:01:42+00:00,en,0,2,2.0
3358561,WEB,0,2021-04-20 12:58:07+00:00,en,0,21,2.0
3364801,WEB,0,2021-04-21 06:15:04+00:00,en,0,1,2.0
3364803,WEB,0,2021-04-21 06:16:28+00:00,en,0,48,5.0
3364819,WEB,0,2021-04-21 06:22:54+00:00,en,0,23,2.0
3364893,WEB,0,2021-04-21 06:43:58+00:00,en,0,0,2.0
3365019,WEB,0,2021-04-21 07:15:56+00:00,en,0,68,2.0
